ID,DerogCnt,CollectCnt,BanruptcyInd,InqCnt06,InqTimeLast,InqFinanceCnt24,TLTimeFirst,TLTimeLast,TLCnt03,TLCnt12,TLCnt24,TLCnt,TLSum,TLMaxSum,TLSatCnt,TLDel60Cnt,TLBadCnt24,TL75UtilCnt,TL50UtilCnt,TLBalHCPct,TLSatPct,TLDel3060Cnt24,TLDel90Cnt24,TLDel60CntAll,TLOpenPct,TLBadDerogCnt,TLDel60Cnt24,TLOpen24Pct,TARGET
478,0,0,0,1,4.0,1,487,12,0,1,6,13.0,20408.0,26570.0,22.0,0,0,9.0,10.0,0.7681,0.8182,0,0,0,0.5909,0,0,0.4615,0
87963,0,0,0,4,1.0,3,283,6,0,2,2,13.0,44185.0,62165.0,21.0,1,0,3.0,6.0,0.7108,0.7273,0,0,1,0.5909,0,0,0.1538,0
35365,2,1,0,2,2.0,5,252,11,0,1,1,10.0,18937.0,40676.0,7.0,7,3,2.0,5.0,0.4656,0.0526,3,7,14,0.5263,9,9,0.1,1
8250,0,0,0,1,3.0,6,165,27,0,0,0,8.0,22310.0,27277.0,2.0,10,8,4.0,5.0,0.8179,0.0714,2,9,11,0.5714,9,10,0.0,1
86359,0,0,0,3,1.0,3,331,6,0,1,6,15.0,20687.0,34293.0,18.0,2,0,6.0,7.0,0.6032,0.65,3,2,3,0.75,2,3,0.4,0
93165,1,1,0,0,11.0,0,191,19,0,0,1,2.0,445.0,544.0,2.0,1,0,1.0,1.0,0.818,0.3333,0,0,1,0.6667,0,0,0.5,0
39776,0,0,0,2,1.0,2,213,4,0,1,2,4.0,28111.0,35231.0,17.0,0,0,2.0,2.0,0.7979,0.3889,3,2,3,0.2222,2,2,0.5,0
75961,5,4,1,0,7.0,1,13,6,0,4,5,5.0,1464.0,1651.0,5.0,0,0,4.0,5.0,0.8867,1.0,0,0,0,1.0,3,0,1.0,0
117168,2,1,1,5,0.0,1,79,3,1,10,10,11.0,32149.0,42225.0,16.0,0,0,5.0,5.0,0.7614,0.7895,0,0,0,0.5789,1,0,0.9091,0
1419,0,0,0,5,1.0,5,185,10,0,1,1,14.0,43929.0,65197.0,29.0,0,0,5.0,6.0,0.6738,0.6897,2,0,1,0.4828,0,1,0.0714,0
36660,8,5,1,0,,0,144,4,0,2,3,5.0,6148.0,8342.0,11.0,1,0,2.0,3.0,0.737,0.5,0,0,2,0.4167,4,0,0.6,0
24401,0,0,0,0,,0,258,90,0,0,0,2.0,2280.0,2209.0,4.0,5,2,2.0,2.0,1.0321,0.4444,0,2,7,0.2222,2,2,0.0,0
123998,29,26,0,4,1.0,3,94,5,0,3,6,1.0,7525.0,8447.0,6.0,2,1,1.0,1.0,0.8908,0.6667,0,1,2,0.1111,16,1,6.0,1
86079,5,1,1,2,4.0,0,170,5,0,3,6,6.0,11131.0,12520.0,9.0,0,0,3.0,3.0,0.8891,0.7778,0,0,0,0.6667,0,0,1.0,0
45840,4,4,0,3,1.0,2,115,115,0,0,0,2.0,5355.0,11800.0,2.0,0,0,0.0,0.0,0.4538,1.0,0,0,0,1.0,3,0,0.0,0
49117,0,0,0,2,1.0,1,100,3,1,7,11,12.0,33322.0,55353.0,18.0,0,0,5.0,5.0,0.602,0.6667,0,0,0,0.5714,0,0,0.9167,0
105270,1,1,0,2,2.0,3,150,5,0,1,3,7.0,19618.0,26443.0,13.0,3,0,4.0,6.0,0.7419,0.3889,1,0,4,0.3889,0,0,0.4286,0
15060,2,1,1,1,2.0,4,230,2,1,2,2,6.0,36843.0,40088.0,12.0,8,2,5.0,5.0,0.9191,0.1905,0,2,9,0.2857,3,2,0.3333,0
74606,0,0,0,0,8.0,0,148,6,0,4,4,10.0,15388.0,46762.0,30.0,0,0,0.0,1.0,0.3291,0.4242,0,0,0,0.303,0,0,0.4,0
80560,0,0,0,4,0.0,7,61,2,1,5,12,12.0,21970.0,33998.0,16.0,0,0,3.0,3.0,0.6462,0.8889,0,0,0,0.6667,0,0,1.0,0
67732,0,0,0,1,2.0,0,17,17,0,0,1,1.0,580.0,580.0,1.0,0,0,1.0,1.0,1.0,1.0,0,0,0,1.0,0,0,1.0,0
30114,0,0,0,2,1.0,0,251,15,0,0,5,17.0,37831.0,70961.0,23.0,2,1,5.0,7.0,0.5331,0.6667,2,1,3,0.6296,1,2,0.2941,0
5621,0,0,0,2,0.0,2,231,4,0,1,1,1.0,851.0,890.0,6.0,0,0,1.0,1.0,0.9562,0.2857,0,0,2,0.1429,0,0,1.0,0
20969,2,1,0,3,1.0,5,193,10,0,1,1,4.0,13087.0,20297.0,3.0,4,3,1.0,2.0,0.6448,0.4286,2,3,4,0.5714,4,4,0.25,0
62603,0,0,0,0,9.0,1,83,6,0,2,4,10.0,37199.0,77663.0,15.0,0,0,2.0,2.0,0.479,0.7647,0,0,0,0.5882,0,0,0.4,0
112120,2,0,0,1,3.0,2,127,2,2,6,10,6.0,16517.0,17348.0,9.0,0,0,4.0,5.0,0.9521,0.5,0,0,1,0.4286,0,0,1.6667,0
46273,0,0,0,0,8.0,1,323,19,0,0,1,4.0,15029.0,29502.0,9.0,0,0,1.0,1.0,0.5094,0.4444,1,0,0,0.4444,0,0,0.25,0
11137,1,0,0,2,0.0,2,161,8,0,2,3,7.0,34128.0,60468.0,17.0,0,0,1.0,2.0,0.5644,0.5294,0,0,0,0.4118,0,0,0.4286,0
53924,0,0,0,2,0.0,2,252,9,0,1,5,8.0,1955.0,8680.0,16.0,0,0,0.0,1.0,0.2252,0.5294,3,0,1,0.4706,0,1,0.625,0
124389,1,0,0,0,7.0,1,358,6,0,2,2,3.0,3770.0,25423.0,5.0,0,0,0.0,0.0,0.1483,0.8,0,0,1,0.6,0,0,0.6667,0
6754,0,0,0,6,1.0,9,94,15,0,0,5,6.0,418.0,21018.0,14.0,0,0,0.0,0.0,0.0199,0.8571,0,0,0,0.4286,0,0,0.8333,0
7142,2,2,0,9,1.0,7,148,2,1,2,3,13.0,35712.0,43749.0,17.0,0,0,5.0,5.0,0.8163,0.7895,0,0,0,0.6842,2,0,0.2308,0
13207,0,0,0,8,1.0,4,213,2,1,1,2,2.0,1513.0,1602.0,2.0,1,0,2.0,2.0,0.9444,0.25,0,1,2,0.5,1,1,1.0,0
56568,2,0,0,3,0.0,2,109,4,0,4,5,4.0,10519.0,13653.0,8.0,0,0,2.0,3.0,0.7705,0.6667,0,0,1,0.4444,0,0,1.25,0
41572,1,0,0,5,1.0,2,113,2,1,3,3,5.0,2981.0,3292.0,2.0,2,2,3.0,3.0,0.9055,0.4,0,2,2,1.0,2,2,0.6,0
97618,0,0,0,1,3.0,1,162,21,0,0,1,3.0,26828.0,34190.0,6.0,4,2,1.0,1.0,0.7847,0.1818,0,4,10,0.2727,4,4,0.3333,0
57226,3,2,1,18,1.0,40,119,2,1,9,17,8.0,10479.0,11349.0,15.0,3,3,4.0,6.0,0.9233,0.625,0,3,3,0.3333,5,3,2.125,0
68666,0,0,0,1,1.0,0,153,2,1,2,4,8.0,29830.0,60623.0,10.0,0,0,2.0,3.0,0.4921,0.6667,0,0,0,0.6667,0,0,0.5,0
75346,3,3,0,2,1.0,4,93,16,0,0,1,1.0,7559.0,14935.0,10.0,3,0,0.0,1.0,0.5061,0.3846,0,0,3,0.0769,3,0,1.0,0
99268,1,0,1,7,0.0,7,98,19,0,0,4,3.0,6227.0,5654.0,4.0,3,0,2.0,2.0,1.1013,0.375,2,0,4,0.375,0,1,1.3333,0
5639,0,0,0,4,0.0,1,148,5,0,3,4,13.0,15456.0,18561.0,17.0,6,5,3.0,3.0,0.8327,0.3913,3,7,10,0.5652,7,8,0.3077,0
69804,0,0,0,0,11.0,1,293,12,0,1,4,23.0,136343.0,172238.0,39.0,0,0,11.0,16.0,0.7916,0.6829,0,0,0,0.561,0,0,0.1739,1
14495,4,2,1,1,1.0,2,122,22,0,0,1,,,,2.0,0,0,,,,0.5,0,0,0,,1,0,,0
94407,0,0,0,0,8.0,0,152,8,0,1,1,7.0,20288.0,42478.0,14.0,0,0,1.0,2.0,0.4776,0.5,0,0,0,0.5,0,0,0.1429,0
21691,2,1,0,3,1.0,6,88,16,0,0,2,3.0,20469.0,25979.0,4.0,3,1,2.0,3.0,0.7879,0.5714,0,1,3,0.4286,2,1,0.6667,0
61553,3,2,1,1,3.0,0,166,11,0,1,1,2.0,2474.0,3966.0,3.0,2,1,0.0,1.0,0.6238,0.6,0,1,2,0.4,1,1,0.5,0
86166,0,0,0,2,2.0,1,245,4,0,2,5,18.0,84710.0,110350.0,33.0,0,0,8.0,9.0,0.7676,0.6111,0,0,0,0.5,0,0,0.2778,0
14696,2,0,0,2,1.0,1,134,19,0,0,4,9.0,14928.0,18307.0,17.0,1,0,6.0,6.0,0.8154,0.1905,3,0,3,0.4286,0,3,0.4444,0
103168,13,1,0,6,0.0,12,126,6,0,1,2,2.0,0.0,0.0,6.0,4,3,,,0.0,0.2727,0,4,6,0.1818,8,4,1.0,0
96924,4,3,0,3,1.0,2,110,9,0,1,2,1.0,241.0,4097.0,12.0,0,0,0.0,0.0,0.0588,0.4167,0,0,1,0.0833,2,0,2.0,0
52858,3,3,0,3,1.0,6,123,5,0,3,6,8.0,11947.0,28435.0,22.0,0,0,2.0,4.0,0.4202,0.5909,0,0,0,0.3636,2,0,0.75,0
69716,5,4,0,6,1.0,1,247,2,1,3,3,4.0,10102.0,10619.0,17.0,0,0,2.0,2.0,0.9513,0.3889,0,0,2,0.2222,2,0,0.75,1
65349,7,5,0,0,19.0,1,150,2,1,3,7,7.0,44266.0,53745.0,11.0,1,0,4.0,4.0,0.8236,0.3333,3,1,2,0.4667,4,1,1.0,1
71388,0,0,0,3,2.0,3,238,11,0,3,6,10.0,54413.0,103711.0,20.0,0,0,2.0,4.0,0.5247,0.7273,0,0,0,0.4545,0,0,0.6,0
121280,0,0,0,4,0.0,2,78,11,0,1,1,3.0,11495.0,19586.0,8.0,2,1,0.0,1.0,0.5869,0.3333,0,2,3,0.25,2,2,0.3333,0
58639,0,0,0,3,0.0,3,79,8,0,1,6,9.0,17254.0,34612.0,15.0,0,0,1.0,4.0,0.4985,0.5294,0,0,1,0.5294,0,0,0.6667,0
34484,0,0,0,1,6.0,1,133,27,0,0,0,4.0,840.0,1876.0,6.0,3,2,1.0,1.0,0.4478,0.3,0,3,3,0.4,3,3,0.0,0
45702,0,0,0,3,0.0,3,107,2,1,3,8,13.0,16363.0,40286.0,19.0,0,0,1.0,3.0,0.4062,0.7619,0,0,0,0.619,0,0,0.6154,1
94671,0,0,0,0,7.0,3,53,7,0,4,9,11.0,24167.0,31930.0,13.0,0,0,6.0,7.0,0.7569,0.75,0,0,1,0.6875,0,0,0.8182,0
120342,0,0,0,2,1.0,1,190,7,0,1,5,17.0,40294.0,72769.0,22.0,1,0,6.0,6.0,0.5537,0.6667,3,0,1,0.6296,0,1,0.2941,1
80039,7,3,1,9,0.0,19,72,4,0,2,7,4.0,12603.0,14312.0,8.0,1,0,3.0,3.0,0.8806,0.6364,0,0,1,0.3636,0,0,1.75,0
123410,0,0,0,2,2.0,2,98,4,0,1,2,5.0,17384.0,35753.0,7.0,0,0,1.0,3.0,0.4862,0.8571,0,0,0,0.7143,0,0,0.4,0
31259,1,1,0,0,13.0,2,165,8,0,1,3,4.0,7541.0,12195.0,6.0,1,1,1.0,2.0,0.6184,0.3333,2,1,2,0.4444,2,2,0.75,0
70162,1,1,0,1,4.0,0,262,25,0,0,0,4.0,5078.0,6076.0,4.0,2,1,2.0,3.0,0.8357,0.6667,0,1,2,0.6667,1,1,0.0,0
20665,0,0,0,1,2.0,1,99,23,0,0,1,5.0,5659.0,11930.0,7.0,1,1,1.0,1.0,0.4744,0.3,0,2,2,0.5,2,2,0.2,1
40573,5,2,1,3,1.0,4,103,6,0,1,1,3.0,23.0,551.0,10.0,3,3,0.0,0.0,0.0417,0.5,0,3,4,0.1875,5,3,0.3333,0
47212,0,0,0,5,0.0,8,65,3,1,3,9,8.0,36786.0,36492.0,13.0,0,0,6.0,6.0,1.0081,0.5,0,0,0,0.4444,0,0,1.125,0
58696,1,1,0,14,1.0,15,36,5,0,8,8,9.0,7156.0,19277.0,8.0,0,0,4.0,4.0,0.3712,0.8,0,0,0,0.9,0,0,0.8889,0
45697,3,0,1,0,,0,241,77,0,0,0,3.0,1954.0,2100.0,8.0,7,1,1.0,1.0,0.9305,0.0667,2,1,10,0.2,1,2,0.0,0
64343,2,0,0,0,8.0,3,324,9,0,2,9,17.0,20773.0,53156.0,35.0,1,1,5.0,6.0,0.3908,0.3784,3,1,2,0.4595,1,1,0.5294,0
82636,7,7,0,0,11.0,0,104,16,0,0,1,9.0,3268.0,17211.0,15.0,0,0,3.0,3.0,0.1899,0.5,2,0,1,0.5625,6,1,0.1111,0
3097,0,0,0,2,1.0,0,95,3,1,4,5,13.0,36007.0,55804.0,15.0,1,0,5.0,7.0,0.6452,0.6087,0,1,1,0.5652,1,1,0.3846,0
39481,1,1,0,0,8.0,1,94,8,0,2,3,7.0,25482.0,31522.0,15.0,3,1,3.0,3.0,0.8084,0.5556,0,1,5,0.3889,2,1,0.4286,0
41295,1,0,1,2,1.0,10,147,8,0,1,2,6.0,7839.0,15278.0,13.0,13,3,1.0,2.0,0.5131,0.1852,0,3,13,0.2222,3,3,0.3333,0
69912,0,0,0,2,1.0,1,125,2,1,4,7,15.0,16159.0,44610.0,23.0,0,0,3.0,4.0,0.3622,0.6538,0,0,0,0.5769,0,0,0.4667,0
65899,0,0,0,1,1.0,0,74,40,0,0,0,2.0,488.0,1740.0,2.0,2,0,0.0,0.0,0.2805,0.25,0,1,2,0.5,1,1,0.0,1
29214,1,0,1,0,9.0,1,53,9,0,1,3,4.0,10981.0,11519.0,5.0,0,0,3.0,3.0,0.9533,0.8,0,0,0,0.8,0,0,0.75,0
1402,5,3,1,2,2.0,2,90,5,0,3,5,4.0,8102.0,9450.0,11.0,0,0,3.0,3.0,0.8574,0.5294,3,0,0,0.2353,0,0,1.25,0
67838,1,0,0,2,0.0,1,109,6,0,1,1,4.0,1352.0,3454.0,6.0,3,3,2.0,2.0,0.3914,0.3333,0,4,6,0.4444,4,4,0.25,0
81257,2,0,1,0,7.0,1,171,5,0,1,5,8.0,2587.0,3910.0,12.0,3,0,2.0,4.0,0.6616,0.6471,0,0,3,0.4706,1,0,0.625,0
34828,0,0,0,3,2.0,2,107,2,2,5,8,6.0,13377.0,18724.0,16.0,0,0,2.0,2.0,0.7144,0.6667,0,0,1,0.2857,0,0,1.3333,0
29418,0,0,0,0,22.0,0,123,13,0,0,2,7.0,3322.0,9577.0,14.0,0,0,2.0,3.0,0.3469,0.5,0,0,0,0.5,0,0,0.2857,0
41194,0,0,0,1,1.0,12,150,22,0,0,3,5.0,10556.0,17596.0,15.0,2,1,2.0,2.0,0.5999,0.1765,3,2,4,0.2941,2,4,0.6,0
42767,0,0,0,0,,0,296,58,0,0,0,4.0,7854.0,21000.0,11.0,0,0,1.0,1.0,0.374,0.6667,0,0,0,0.3333,0,0,0.0,0
10319,3,3,0,2,2.0,2,228,5,0,2,3,8.0,18787.0,23483.0,16.0,0,0,4.0,4.0,0.8,0.4118,0,4,4,0.4706,7,4,0.375,0
125251,0,0,0,4,6.0,6,248,13,0,0,5,5.0,24642.0,31159.0,7.0,0,0,3.0,3.0,0.7908,1.0,0,0,0,0.7143,0,0,1.0,0
107341,2,0,0,3,2.0,0,151,3,1,2,2,5.0,1052.0,2145.0,7.0,1,1,1.0,2.0,0.4904,0.625,0,1,1,0.625,2,1,0.4,0
9637,1,0,0,0,7.0,1,46,2,1,2,3,7.0,10703.0,14050.0,9.0,1,0,3.0,5.0,0.7618,0.8182,0,1,1,0.6364,1,1,0.4286,0
38292,1,1,0,0,23.0,0,108,4,0,2,3,7.0,11027.0,18804.0,10.0,0,0,2.0,2.0,0.5864,0.5,2,1,2,0.7,1,2,0.4286,0
51081,1,1,0,3,3.0,4,224,8,0,5,6,6.0,34364.0,44519.0,12.0,6,6,4.0,5.0,0.7719,0.3889,2,7,9,0.3333,8,8,1.0,0
120842,1,0,1,0,12.0,5,216,11,0,2,5,8.0,17191.0,29332.0,16.0,0,0,6.0,6.0,0.5861,0.8125,0,0,0,0.5,0,0,0.625,0
29307,0,0,0,0,12.0,1,137,9,0,3,7,8.0,37108.0,45310.0,15.0,0,0,6.0,7.0,0.819,0.6875,0,0,0,0.5,0,0,0.875,0
92373,0,0,0,0,,0,228,7,0,3,7,19.0,22357.0,68912.0,25.0,0,0,1.0,4.0,0.3244,0.7308,0,0,1,0.7308,0,0,0.3684,0
67537,2,1,1,1,4.0,0,174,11,0,1,1,3.0,9126.0,12417.0,2.0,3,1,1.0,2.0,0.735,0.3333,0,1,4,0.5,1,1,0.3333,0
104039,0,0,0,0,11.0,0,177,11,0,2,2,9.0,28161.0,38034.0,17.0,2,0,3.0,3.0,0.7404,0.5263,2,0,2,0.4737,0,1,0.2222,1
122433,5,5,0,0,,0,107,32,0,0,0,6.0,5768.0,13344.0,15.0,0,0,2.0,2.0,0.4323,0.2353,3,0,3,0.3529,5,3,0.0,0
89294,3,3,0,1,1.0,1,74,11,0,1,4,2.0,1397.0,1525.0,6.0,0,0,1.0,1.0,0.9161,0.6667,0,0,0,0.3333,2,0,2.0,1
70641,7,7,0,5,4.0,1,121,6,0,1,2,6.0,41814.0,43996.0,8.0,2,0,5.0,6.0,0.9504,0.1818,3,2,3,0.5455,3,3,0.3333,1
54301,1,1,0,5,0.0,6,357,3,1,5,11,24.0,39831.0,99772.0,35.0,1,1,3.0,3.0,0.3992,0.5952,0,1,1,0.5714,2,1,0.4583,0
36826,5,2,1,2,3.0,4,149,4,0,1,2,4.0,0.0,1509.0,16.0,6,3,,,0.0,0.4,3,4,9,0.16,7,5,0.5,0
119973,1,1,0,3,1.0,3,263,4,0,2,5,11.0,43989.0,51272.0,25.0,0,0,7.0,7.0,0.858,0.64,2,0,1,0.44,0,1,0.4545,0
122238,0,0,0,1,5.0,0,62,21,0,0,1,3.0,9005.0,19457.0,3.0,0,0,0.0,1.0,0.4628,1.0,0,0,1,1.0,0,0,0.3333,0
27390,0,0,0,0,,0,363,71,0,0,0,2.0,2814.0,4243.0,6.0,0,0,0.0,1.0,0.6632,0.5,0,0,0,0.3333,0,0,0.0,0
90630,1,0,1,1,1.0,1,238,22,0,0,2,6.0,10121.0,21777.0,18.0,7,0,3.0,3.0,0.4648,0.28,0,0,7,0.24,0,0,0.3333,0
84422,0,0,0,3,0.0,2,244,4,0,1,1,6.0,6149.0,7604.0,7.0,9,2,2.0,2.0,0.8087,0.1667,2,8,10,0.3333,8,9,0.1667,1
85240,0,0,0,3,0.0,2,80,16,0,0,1,4.0,2353.0,3738.0,5.0,0,0,1.0,1.0,0.6295,0.6667,0,0,0,0.6667,0,0,0.25,0
104352,0,0,0,1,6.0,2,163,5,0,1,3,7.0,24016.0,45076.0,13.0,0,0,3.0,3.0,0.5328,0.7333,0,0,0,0.4667,0,0,0.4286,0
81938,0,0,0,10,1.0,9,118,5,0,4,7,12.0,17491.0,22246.0,14.0,3,1,5.0,7.0,0.7863,0.7059,0,1,4,0.7059,1,1,0.5833,0
75053,2,1,0,7,0.0,13,120,8,0,1,3,4.0,17762.0,23615.0,5.0,3,0,2.0,3.0,0.7521,0.625,0,0,3,0.5,0,0,0.75,1
77367,0,0,0,3,2.0,0,260,12,0,1,1,7.0,11979.0,27696.0,13.0,0,0,3.0,4.0,0.4325,0.7143,1,0,2,0.5,0,0,0.1429,0
77433,1,0,0,5,1.0,4,66,2,1,3,4,3.0,959.0,959.0,7.0,1,1,1.0,1.0,1.0,0.6667,0,1,2,0.3333,1,1,1.3333,0
89502,2,2,0,15,0.0,15,113,1,1,6,7,2.0,694.0,694.0,17.0,2,0,1.0,1.0,1.0,0.2,0,0,5,0.08,2,0,3.5,1
101952,0,0,0,5,1.0,0,150,7,0,3,10,13.0,31299.0,46496.0,14.0,0,0,6.0,7.0,0.6732,0.875,0,0,0,0.8125,0,0,0.7692,1
113895,2,0,0,5,1.0,9,106,9,0,4,7,3.0,54726.0,61601.0,11.0,0,0,2.0,3.0,0.8884,0.4286,0,0,1,0.2143,0,0,2.3333,0
106123,0,0,0,0,,0,102,41,0,0,0,4.0,6882.0,14221.0,8.0,0,0,1.0,1.0,0.4839,0.5,0,0,1,0.5,0,0,0.0,0
74835,0,0,0,1,5.0,1,40,2,1,5,10,17.0,2681.0,36052.0,16.0,0,0,0.0,1.0,0.0744,0.7895,0,0,0,0.8947,0,0,0.5882,0
124099,1,1,0,1,2.0,0,91,4,0,3,4,5.0,691.0,997.0,8.0,4,1,3.0,3.0,0.6931,0.3846,0,1,4,0.3846,1,1,0.8,0
64501,3,3,0,0,8.0,7,107,4,0,3,3,10.0,21401.0,27117.0,21.0,0,0,6.0,7.0,0.7892,0.6818,0,0,1,0.4545,2,0,0.3,0
109052,0,0,0,2,3.0,0,227,1,2,4,4,5.0,3104.0,3338.0,3.0,5,0,3.0,5.0,0.9299,0.2727,0,1,5,0.4545,1,1,0.8,1
26036,1,1,0,10,0.0,13,316,3,2,8,16,12.0,79921.0,87700.0,24.0,1,0,9.0,9.0,0.9113,0.6452,2,0,2,0.3871,0,1,1.3333,0
8603,4,1,1,1,6.0,0,158,10,0,1,3,2.0,59.0,252.0,4.0,6,1,0.0,0.0,0.2341,0.2727,0,1,6,0.1818,2,1,1.5,0
115192,1,0,1,4,1.0,1,199,5,0,1,1,2.0,401.0,819.0,10.0,7,7,0.0,0.0,0.4896,0.2778,0,7,7,0.1111,7,7,0.5,0
42274,1,0,1,5,1.0,5,47,8,0,3,5,5.0,36320.0,46341.0,7.0,2,2,3.0,4.0,0.7838,0.7,0,2,2,0.5,2,2,1.0,1
112068,1,1,0,5,1.0,2,218,4,0,1,1,6.0,2012.0,3625.0,6.0,1,1,2.0,3.0,0.555,0.4444,2,2,5,0.6667,2,3,0.1667,0
